epoch,accuracy,loss,val_accuracy,val_loss
0,0.7561267614364624,1.3513799905776978,0.8884101510047913,0.9216956496238708
1,0.8507462739944458,1.0387991666793823,0.900473952293396,0.8645257353782654
2,0.866316556930542,0.9884770512580872,0.9099525809288025,0.8135625720024109
3,0.8794914484024048,0.95265793800354,0.9233089089393616,0.8003396987915039
4,0.8852035999298096,0.9353204965591431,0.9198621511459351,0.7958278059959412
0,0.900589644908905,9.999999747378752e-06,0.9011172652244568,0.9314950704574585,0.7878363132476807
1,0.9117376208305359,9.999999747378752e-06,0.8594180941581726,0.9358035326004028,0.7732470035552979
2,0.92380690574646,9.999999747378752e-06,0.8367438316345215,0.9401119947433472,0.7647979855537415
3,0.9247282147407532,9.999999747378752e-06,0.8244191408157349,0.9418354034423828,0.7569947242736816
4,0.9314538240432739,9.999999747378752e-06,0.8052425384521484,0.9513140916824341,0.7467522025108337
5,0.935968279838562,9.999999747378752e-06,0.7912896871566772,0.9491598606109619,0.737988293170929
6,0.942970335483551,9.999999747378752e-06,0.7765195369720459,0.9556225538253784,0.7259858846664429
7,0.9428781867027283,9.999999747378752e-06,0.7692984938621521,0.9551917314529419,0.7144941091537476
8,0.9479454755783081,9.999999747378752e-06,0.7572441697120667,0.9551917314529419,0.71968013048172
9,0.9527363181114197,9.999999747378752e-06,0.7451462745666504,0.9573459625244141,0.7148185968399048
10,0.9522756338119507,9.999999747378752e-06,0.7425889372825623,0.9590693712234497,0.714765191078186
11,0.9540261626243591,9.999999747378752e-06,0.7352691292762756,0.9577768445014954,0.7095028162002563
12,0.9603832960128784,9.999999747378752e-06,0.7198430299758911,0.960361897945404,0.703405499458313
13,0.9598304629325867,9.999999747378752e-06,0.7184752225875854,0.9638087153434753,0.6935716271400452
14,0.9628708362579346,9.999999747378752e-06,0.7098999619483948,0.9612236022949219,0.6911328434944153
15,0.9623180627822876,9.999999747378752e-06,0.70719975233078,0.9612236022949219,0.6932401657104492
16,0.9690436720848083,9.999999747378752e-06,0.6921244263648987,0.966393768787384,0.6793779730796814
17,0.9706099033355713,9.999999747378752e-06,0.6893342733383179,0.9625161290168762,0.6912582516670227
18,0.971254825592041,9.999999747378752e-06,0.6856469511985779,0.965532124042511,0.6743935346603394
19,0.9736502766609192,9.999999747378752e-06,0.6784586310386658,0.9689788818359375,0.6700140833854675
20,0.9715312123298645,9.999999747378752e-06,0.6771726012229919,0.9681171774864197,0.6730443835258484
21,0.9759535789489746,9.999999747378752e-06,0.6718287467956543,0.9694097638130188,0.6660175919532776
22,0.9773355722427368,9.999999747378752e-06,0.6656736731529236,0.9672554731369019,0.6629964113235474
23,0.977796196937561,9.999999747378752e-06,0.6643691658973694,0.9595001935958862,0.6813695430755615
24,0.9780725836753845,9.999999747378752e-06,0.6598039865493774,0.9689788818359375,0.6634334921836853
25,0.979362428188324,9.999999747378752e-06,0.6544700860977173,0.963377833366394,0.6693698167800903
26,0.9785332679748535,9.999999747378752e-06,0.6546997427940369,0.9659629464149475,0.6656650304794312
27,0.9815736413002014,4.999999873689376e-06,0.6469685435295105,0.9672554731369019,0.6599920392036438
28,0.9826791882514954,4.999999873689376e-06,0.6437624096870422,0.9672554731369019,0.6588302254676819
29,0.9842454195022583,4.999999873689376e-06,0.6406289339065552,0.9694097638130188,0.6574122309684753
30,0.9845218062400818,4.999999873689376e-06,0.6408820748329163,0.968548059463501,0.6554248332977295
31,0.9826791882514954,4.999999873689376e-06,0.6395540237426758,0.9681171774864197,0.6593189835548401
