epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7660770416259766,9.999999747378752e-05,0.7632367610931396,0.9052132964134216,0.3393472731113434
1,0.8828082084655762,9.999999747378752e-05,0.3622935116291046,0.9142611026763916,0.30919668078422546
2,0.909157931804657,9.999999747378752e-05,0.28311264514923096,0.9310641884803772,0.26016396284103394
3,0.9269393682479858,9.999999747378752e-05,0.22349445521831512,0.9405428767204285,0.22125299274921417
4,0.936981737613678,9.999999747378752e-05,0.19406451284885406,0.9448513388633728,0.21134240925312042
5,0.9462870955467224,9.999999747378752e-05,0.16024982929229736,0.9474364519119263,0.21461258828639984
6,0.9519992470741272,9.999999747378752e-05,0.1480252742767334,0.9500215649604797,0.20896051824092865
7,0.9572507739067078,9.999999747378752e-05,0.13171681761741638,0.9414045810699463,0.24209851026535034
8,0.9601989984512329,9.999999747378752e-05,0.11701945215463638,0.9422662854194641,0.22037425637245178
9,0.9668325185775757,9.999999747378752e-05,0.10444290190935135,0.9426971077919006,0.28396832942962646
10,0.9677538275718689,4.999999873689376e-05,0.08967484533786774,0.9547608494758606,0.223441943526268
11,0.9779804944992065,4.999999873689376e-05,0.06642071902751923,0.9560534358024597,0.20234814286231995
12,0.9779804944992065,4.999999873689376e-05,0.07008606940507889,0.9569151401519775,0.19607950747013092
13,0.9790860414505005,4.999999873689376e-05,0.06671541929244995,0.9564842581748962,0.2003316581249237
14,0.9811129570007324,4.999999873689376e-05,0.055647652596235275,0.9577768445014954,0.19969536364078522
