epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7831214070320129,9.999999747378752e-05,0.7215370535850525,0.9077983498573303,0.3152632415294647
1,0.8969964981079102,9.999999747378752e-05,0.3310571312904358,0.9302024841308594,0.25539132952690125
2,0.9173576831817627,9.999999747378752e-05,0.24899093806743622,0.9370960593223572,0.23415406048297882
3,0.9365211129188538,9.999999747378752e-05,0.19983665645122528,0.9418354034423828,0.21741726994514465
4,0.9472084045410156,9.999999747378752e-05,0.15731793642044067,0.9491598606109619,0.2242962121963501
5,0.9487746357917786,9.999999747378752e-05,0.14803765714168549,0.9556225538253784,0.19924898445606232
6,0.9593698382377625,9.999999747378752e-05,0.11995883285999298,0.9564842581748962,0.18522410094738007
7,0.9655426740646362,9.999999747378752e-05,0.10461515933275223,0.9513140916824341,0.1994163691997528
8,0.9679380655288696,9.999999747378752e-05,0.09497182816267014,0.9465747475624084,0.23117074370384216
9,0.9682145118713379,9.999999747378752e-05,0.09418760240077972,0.9487289786338806,0.25775814056396484
10,0.9784411191940308,4.999999873689376e-05,0.06443153321743011,0.9560534358024597,0.212046280503273
11,0.9819421172142029,4.999999873689376e-05,0.05607425421476364,0.9560534358024597,0.19412313401699066
12,0.9803758859634399,4.999999873689376e-05,0.05771159753203392,0.9590693712234497,0.19083301723003387
13,0.9847061038017273,2.499999936844688e-05,0.04619050770998001,0.9582076668739319,0.18988780677318573
14,0.9857195615768433,2.499999936844688e-05,0.04166553542017937,0.9590693712234497,0.18625903129577637
