epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7855168581008911,9.999999747378752e-05,0.6907120943069458,0.9129685759544373,0.2999081313610077
1,0.900589644908905,9.999999747378752e-05,0.3177400231361389,0.9375269412994385,0.2270466536283493
2,0.9215957522392273,9.999999747378752e-05,0.23699238896369934,0.9388194680213928,0.23031862080097198
3,0.9403906464576721,9.999999747378752e-05,0.18296697735786438,0.9435588121414185,0.2192448377609253
4,0.9466556310653687,9.999999747378752e-05,0.1601497083902359,0.9564842581748962,0.17340892553329468
5,0.9562373161315918,9.999999747378752e-05,0.1337139904499054,0.9534683227539062,0.17881566286087036
6,0.9625023007392883,9.999999747378752e-05,0.11579210311174393,0.9577768445014954,0.16872760653495789
7,0.9666482210159302,9.999999747378752e-05,0.10308597981929779,0.9521757960319519,0.19117911159992218
8,0.9693200588226318,9.999999747378752e-05,0.09151531010866165,0.960361897945404,0.18574972450733185
9,0.9724525809288025,9.999999747378752e-05,0.07819169014692307,0.9582076668739319,0.18825358152389526
10,0.978348970413208,4.999999873689376e-05,0.06494825333356857,0.9534683227539062,0.2009035348892212
11,0.9812051057815552,4.999999873689376e-05,0.05638689547777176,0.9595001935958862,0.1761278659105301
12,0.9833241105079651,4.999999873689376e-05,0.04656173288822174,0.960361897945404,0.17731301486492157
13,0.9845218062400818,2.499999936844688e-05,0.048585157841444016,0.960361897945404,0.1695626974105835
14,0.9856274127960205,2.499999936844688e-05,0.04099977761507034,0.960361897945404,0.1804773062467575
